#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520525728083448746,0.2352913466,0.0031743566,0.6532810815,0.9700003435,0.0153726308,-0.0364070726,0.2398698414
1520525728091781746,0.2362442162,0.0033672664,0.6531377547,0.9698237964,0.0164926849,-0.0365697849,0.2404837750
1520525728100115746,0.2371876534,0.0033594073,0.6531395733,0.9696161908,0.0168024125,-0.0364907022,0.2413100705
1520525728108448746,0.2380730310,0.0031219579,0.6534157560,0.9694741135,0.0157165272,-0.0359664370,0.2420317116
1520525728116781746,0.2390264235,0.0030552068,0.6534769235,0.9692998715,0.0159654864,-0.0356742301,0.2427554566
1520525728125115746,0.2399062236,0.0031318847,0.6535020215,0.9691077468,0.0159831436,-0.0357276349,0.2435123208
1520525728133448746,0.2408998837,0.0031322210,0.6534695375,0.9688793887,0.0165929828,-0.0358109056,0.2443664915
1520525728141782746,0.2418068092,0.0029556034,0.6536297748,0.9686847890,0.0159188093,-0.0357138268,0.2451956231
1520525728150115746,0.2426642617,0.0028137695,0.6538263899,0.9686376686,0.0158217740,-0.0354705439,0.2454232650
1520525728158448746,0.2435907769,0.0026502909,0.6541268712,0.9684930723,0.0151707599,-0.0350573651,0.2460934742
1520525728166782746,0.2444255684,0.0026673151,0.6541662649,0.9684024353,0.0154062622,-0.0351651360,0.2464199334
1520525728175115746,0.2453421189,0.0028574583,0.6542663497,0.9683798494,0.0168262841,-0.0354611585,0.2463733950
1520525728183448746,0.2461646413,0.0027584902,0.6544764115,0.9683541159,0.0165986633,-0.0354536558,0.2464910323
1520525728191781746,0.2470749009,0.0026636189,0.6546576885,0.9682327441,0.0165757348,-0.0355099785,0.2469608059
1520525728200115746,0.2480728382,0.0024716421,0.6550147180,0.9681226453,0.0160441062,-0.0358271978,0.2473813700
1520525728208448746,0.2489994692,0.0023956314,0.6553451725,0.9680325553,0.0159263840,-0.0361009532,0.2477015205
1520525728216781746,0.2498226894,0.0022090953,0.6555237325,0.9678567086,0.0151025491,-0.0360358531,0.2484486304
1520525728225115746,0.2507689255,0.0020101555,0.6558811180,0.9677128367,0.0146395537,-0.0360884168,0.2490284627
1520525728233448746,0.2517027864,0.0019411782,0.6561220636,0.9676219075,0.0145394121,-0.0364564745,0.2493338628
1520525728241781746,0.2526598554,0.0020461736,0.6563408764,0.9675569683,0.0155280235,-0.0365502970,0.2495124634
1520525728250115746,0.2535766174,0.0017862147,0.6567019072,0.9673967398,0.0143449278,-0.0367311280,0.2501771276
1520525728258448746,0.2545475174,0.0017692936,0.6569616211,0.9673365123,0.0143584560,-0.0372561153,0.2503315574
1520525728266782746,0.2555161179,0.0016045625,0.6573524990,0.9671985669,0.0135971126,-0.0373356791,0.2508945951
1520525728275115746,0.2564875533,0.0016641885,0.6575282689,0.9671420866,0.0138846124,-0.0380563090,0.2509882849
1520525728283448746,0.2575005274,0.0017651255,0.6577793714,0.9670994840,0.0147760386,-0.0383101735,0.2510629151
1520525728291782746,0.2585794212,0.0016735836,0.6581715212,0.9669597290,0.0142808843,-0.0386055233,0.2515840863
1520525728300115746,0.2595970860,0.0015646772,0.6583570528,0.9667790680,0.0137644720,-0.0389380241,0.2522550361
1520525728308448746,0.2606752494,0.0013704129,0.6588082607,0.9666147584,0.0130155547,-0.0389533750,0.2529212107
1520525728316781746,0.2618017797,0.0013857089,0.6591353312,0.9664872976,0.0131434212,-0.0395180213,0.2533137975
1520525728325115746,0.2628433209,0.0013671810,0.6593724475,0.9663757629,0.0130077263,-0.0398987250,0.2536863726
1520525728333448746,0.2639433658,0.0013521843,0.6595759867,0.9662173077,0.0132311547,-0.0402226241,0.2542266535
1520525728341781746,0.2650259759,0.0012131959,0.6599096642,0.9660727854,0.0121400366,-0.0402422718,0.2548265141
1520525728350115746,0.2661746725,0.0011840455,0.6601655979,0.9659204894,0.0120919501,-0.0404964688,0.2553652853
1520525728358448746,0.2672809779,0.0012840803,0.6602792973,0.9658044526,0.0124530551,-0.0409533354,0.2557137169
1520525728366781746,0.2684355376,0.0012609108,0.6604835738,0.9656290805,0.0124341637,-0.0410742518,0.2563567365
1520525728375115746,0.2695805077,0.0011430374,0.6608197400,0.9654776433,0.0118928626,-0.0409948633,0.2569647862
1520525728383448746,0.2706941558,0.0011650807,0.6609584886,0.9653242200,0.0122616912,-0.0412017420,0.2574902282
1520525728391782746,0.2718484802,0.0011557869,0.6612143641,0.9651967876,0.0119405976,-0.0415026110,0.2579343260
1520525728400115746,0.2730165440,0.0014265456,0.6612648856,0.9650143180,0.0130281929,-0.0417183071,0.2585289444
1520525728408448746,0.2741798369,0.0014623063,0.6613705069,0.9648125590,0.0135666949,-0.0417086443,0.2592548163
1520525728416782746,0.2753844377,0.0013546715,0.6617401926,0.9646686804,0.0128975642,-0.0418111447,0.2598072710
1520525728425115746,0.2765604634,0.0013773744,0.6619151591,0.9644787696,0.0122664192,-0.0418315514,0.2605385947
1520525728433448746,0.2776950521,0.0014331091,0.6621100606,0.9643291332,0.0122481108,-0.0415662142,0.2611351308
1520525728441781746,0.2790516201,0.0016685038,0.6620938501,0.9640976415,0.0130353216,-0.0423351029,0.2618273423
1520525728450115746,0.2802842983,0.0019526579,0.6621921789,0.9639518642,0.0145412409,-0.0424381802,0.2622677195
1520525728458448746,0.2811957723,0.0018179103,0.6625084232,0.9638971747,0.0139463501,-0.0415366298,0.2626450920
1520525728466781746,0.2824661236,0.0020375699,0.6625964141,0.9634995245,0.0143970246,-0.0414175566,0.2640946384
1520525728475115746,0.2834491069,0.0017459898,0.6628541613,0.9635033136,0.0127604369,-0.0412989982,0.2641835131
1520525728483448746,0.2846114579,0.0018675375,0.6629539482,0.9631623726,0.0127912144,-0.0407746679,0.2655033997
1520525728491781746,0.2857508037,0.0019347915,0.6630680937,0.9629946708,0.0130260923,-0.0407257345,0.2661071204
1520525728500115746,0.2868581880,0.0020068797,0.6631227013,0.9629206180,0.0136566112,-0.0408478411,0.2663246785
1520525728508448746,0.2879642810,0.0020674330,0.6632416549,0.9627681216,0.0134607117,-0.0409497419,0.2668697660
1520525728516782746,0.2890705292,0.0022692717,0.6632270918,0.9626686775,0.0142859013,-0.0410851298,0.2671646355
1520525728525115746,0.2902916672,0.0023304685,0.6632811320,0.9623712517,0.0151354758,-0.0405838425,0.2682637565
